Mode: 15 #Games: 10000 Notes: u2-1Trick-50
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	7_2	7_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
23	26	29	42	2	7	10	11	2	4	2	2	1	1	0	2	1	0	2	1	0	4	4	4	4	1	0	0	0	37
37	29	32	22	23	0	3	4	6	2	1	1	2	0	1	1	1	2	1	0	1	4	4	4	4	1	0	0	0	100
37	29	40	14	13	0	11	6	3	1	3	3	0	2	2	0	3	0	1	0	1	4	4	4	3	0	1	0	0	80
21	27	6	66	7	11	2	10	5	2	2	1	0	1	0	3	1	0	0	3	0	3	4	4	4	1	0	0	0	53
7	56	37	20	0	21	6	3	1	4	3	2	0	2	2	0	0	3	0	1	0	4	4	4	4	0	1	0	0	66
31	44	31	14	5	15	0	10	3	3	0	4	1	2	1	0	1	1	1	1	0	4	4	3	4	0	0	1	0	63
12	32	30	46	0	13	7	10	2	2	4	2	0	1	1	2	1	1	1	1	0	3	4	4	4	1	0	0	0	63
23	49	20	28	16	14	0	0	5	2	2	1	0	2	0	2	1	2	1	0	0	4	4	4	4	0	0	1	0	21
32	21	41	26	10	0	3	17	2	2	2	4	1	1	1	1	1	1	2	0	0	4	4	4	3	0	1	0	0	61
19	17	39	45	12	0	11	7	5	0	2	3	0	0	2	2	1	1	1	1	1	3	3	4	4	0	0	0	1	69
17	28	38	37	0	0	21	9	1	1	5	3	1	1	1	1	0	1	2	1	1	4	4	4	4	0	1	0	0	72
17	55	25	23	3	21	4	2	4	2	2	2	0	3	1	0	1	2	0	1	0	3	4	4	4	0	0	0	1	32
34	24	34	28	13	14	0	3	2	2	2	4	2	0	1	1	0	2	1	1	1	4	4	4	4	1	0	0	0	65
36	24	19	41	3	11	2	14	2	3	2	3	1	2	0	1	1	0	1	2	0	4	4	4	4	0	0	1	0	68
33	29	27	31	0	25	3	2	1	4	2	3	1	1	1	1	2	1	0	1	0	4	4	4	3	1	0	0	0	28
55	9	32	24	11	3	16	0	3	2	4	1	3	0	0	1	1	0	2	1	1	4	3	4	4	0	1	0	0	53
34	28	21	37	0	0	6	24	1	1	4	4	0	2	1	1	2	0	0	2	0	4	4	4	3	0	0	1	0	38
22	41	19	38	12	4	0	14	4	2	2	2	0	2	1	1	1	1	0	2	0	4	4	4	4	0	0	1	0	45
36	33	34	17	11	4	2	13	2	4	2	2	2	1	1	0	1	1	1	1	1	4	4	4	4	0	1	0	0	67
29	30	22	39	2	0	14	14	2	2	2	4	0	2	1	1	2	0	0	2	1	4	4	4	3	0	0	0	1	16
49	20	22	29	4	10	3	13	3	2	1	4	1	0	1	2	3	1	0	0	0	4	4	4	3	0	0	0	1	51
29	35	30	26	14	12	0	4	3	2	2	3	1	1	1	1	1	2	1	0	1	4	4	4	4	1	0	0	0	60
33	48	22	17	0	10	9	11	0	3	4	3	2	1	0	1	0	3	1	0	0	3	4	3	4	1	0	0	0	32
37	27	31	25	0	13	14	3	0	3	5	2	2	2	0	0	1	0	2	1	0	3	4	3	4	0	0	0	1	82
25	34	15	46	10	13	0	7	2	4	1	3	0	1	1	2	2	1	0	1	0	4	4	4	4	0	0	1	0	34
29	44	29	18	11	0	13	6	3	1	3	3	2	2	0	0	0	2	2	0	1	4	4	4	4	0	1	0	0	71
46	31	26	17	10	15	3	2	1	6	2	1	3	1	0	0	1	1	2	0	0	4	4	4	4	0	1	0	0	70
40	14	20	46	5	10	0	15	2	3	2	3	2	0	1	1	1	1	0	2	0	4	4	4	3	0	0	0	1	36
60	20	21	19	25	3	0	2	3	4	0	3	3	1	0	0	2	0	1	1	1	3	4	3	4	1	0	0	0	49
27	33	28	32	13	15	0	2	3	2	4	1	0	2	1	1	2	0	1	1	0	4	4	3	4	0	0	1	0	84
28	56	26	10	4	11	13	2	3	2	3	2	1	3	0	0	1	1	2	0	0	4	4	4	4	1	0	0	0	64
23	22	52	23	0	2	17	11	3	2	3	2	1	0	2	1	0	1	2	1	0	3	4	4	4	0	0	1	0	86
43	23	34	20	0	13	17	0	1	3	4	2	3	1	0	0	1	0	2	1	0	4	4	3	4	0	1	0	0	90
25	23	50	22	11	0	15	4	4	1	3	2	2	0	2	0	0	1	2	1	1	4	4	4	4	0	1	0	0	89
24	47	2	47	3	6	0	21	1	3	3	3	1	2	0	1	0	1	0	3	0	4	4	4	4	0	0	0	1	21
20	35	28	37	4	10	3	13	2	1	3	4	0	1	2	1	1	1	0	2	0	4	4	3	3	0	0	0	1	46
26	29	30	35	7	2	11	10	2	3	2	3	1	1	2	0	0	1	0	3	1	4	4	4	4	1	0	0	0	61
30	48	22	20	2	11	4	13	3	1	2	4	2	2	0	0	0	2	1	1	0	4	4	4	3	0	0	1	0	39
20	24	41	35	7	11	0	12	2	4	1	3	0	1	2	1	1	1	1	1	0	4	4	4	4	0	1	0	0	48
19	41	33	27	0	13	4	13	1	2	3	4	0	1	2	1	1	2	0	1	0	4	3	4	4	1	0	0	0	66
30	41	19	30	14	11	5	0	2	2	6	0	0	2	0	2	2	1	1	0	0	3	4	3	3	0	0	1	0	70
17	40	40	23	0	15	12	3	1	4	3	2	0	2	1	1	1	1	2	0	0	4	4	4	4	0	0	0	1	55
26	40	13	41	12	15	0	3	3	2	2	3	1	2	0	1	1	1	0	2	0	4	4	4	4	0	0	1	0	45
21	42	38	19	2	17	11	0	2	3	4	1	0	2	2	0	1	1	1	1	1	4	4	4	4	1	0	0	0	54
40	36	17	27	6	11	13	0	2	3	3	2	2	2	0	0	0	1	1	2	0	4	4	4	4	0	1	0	0	51
41	43	27	9	3	13	14	0	2	2	3	3	1	2	1	0	2	1	1	0	0	4	4	4	4	0	0	0	1	75
22	57	17	24	11	14	5	0	1	2	4	3	1	2	0	1	0	2	1	1	1	4	4	4	4	0	0	0	1	56
28	30	38	24	13	13	0	4	3	5	0	2	1	1	1	1	1	1	2	0	1	4	3	3	4	0	0	1	0	61
43	13	28	36	2	11	4	13	2	3	2	3	1	1	1	1	2	0	1	1	0	4	4	4	4	0	1	0	0	74
42	14	59	5	4	5	21	0	2	2	3	3	1	0	3	0	2	0	2	0	1	4	4	4	3	0	0	1	0	111
30	41	45	4	3	11	14	2	3	3	3	1	1	2	1	0	1	1	2	0	0	3	4	4	4	1	0	0	0	79
42	28	22	28	28	2	0	0	4	2	4	0	1	1	2	0	2	1	0	1	1	4	4	4	3	0	0	0	1	78
46	20	21	33	11	10	6	3	2	3	3	2	2	0	0	2	2	2	0	0	1	4	4	4	4	1	0	0	0	60
43	24	21	32	6	11	0	13	4	3	1	2	1	1	1	1	2	1	0	1	0	4	4	4	4	0	0	0	1	70
11	30	41	38	0	0	2	28	1	1	2	6	0	1	2	1	0	1	1	2	0	4	4	4	4	1	0	0	0	31
19	55	40	6	4	21	3	2	2	3	1	4	0	2	2	0	1	2	1	0	0	3	4	4	3	1	0	0	0	20
25	15	36	44	0	2	13	15	0	3	2	5	1	0	0	3	1	1	2	0	0	3	4	4	3	0	1	0	0	20
38	35	29	18	6	10	11	3	3	3	1	3	1	1	1	1	1	2	1	0	1	4	4	4	4	0	1	0	0	51
39	37	16	28	4	3	13	10	2	1	5	2	1	1	1	1	2	1	0	1	1	4	4	4	4	0	1	0	0	75
42	5	45	28	10	0	18	2	1	4	3	2	1	0	2	1	2	0	1	1	1	4	4	4	4	0	0	1	0	79
38	36	30	16	3	15	10	2	1	2	2	5	1	2	0	1	1	1	2	0	0	4	3	4	3	0	0	1	0	41
32	32	25	31	11	7	2	10	2	4	2	2	1	1	1	1	1	1	0	2	1	4	3	4	4	0	0	1	0	65
36	28	25	31	6	10	0	14	2	2	1	5	0	1	1	2	2	1	1	0	0	4	4	4	4	0	1	0	0	11
