80	43
147	103
115	72
116	90
89	66
92	69
119	88
123	90
129	82
120	102
153	95
124	105
90	63
107	90
125	102
141	96
108	94
123	107
85	79
101	46
147	120
109	76
119	72
95	53
105	98
90	87
103	71
112	89
136	83
111	113
112	84
144	105
134	110
110	79
127	92
108	94
85	38
128	81
113	87
107	95
133	100
122	75
109	73
82	54
117	109
138	114
94	70
93	58
76	30
87	52
113	91
110	64
94	32
104	75
110	76
136	96
107	104
128	90
100	67
103	46
128	109
82	74
129	99
121	54
121	107
120	74
119	107
74	24
99	90
94	58
116	81
91	11
95	44
117	72
98	105
104	74
88	19
102	70
93	38
106	67
130	100
108	50
104	85
130	107
118	100
117	116
137	105
94	30
115	50
91	59
135	120
88	70
80	49
119	70
100	78
153	120
122	57
119	83
103	83
103	95
